# File: RTI_peatland_data.csv
# Title: Land cover on peatland by land use type
# Units: km2
# Column types: cicnnnnnnnnnnn
# Source: Kemen Austin, RTI. kaustin@rti.org
# ----------
iso,glu_code,soil_type,Cropland,Pasture,Urban,NatVeg_Unk,NatVeg_Forest,NatVeg_Grass,NatVeg_Other,Timber_LR,Timber_SR,OilPalmFruit,Plantation_ag
lbr,142,peat,119.92,410.59,30.06,107.18,1211.89,682.01,0,0,0,0,0
mdg,177,peat,106.56,163.64,0.29,48.05,214.54,28.52,0,0,0,0,0
mys,139,peat,751.28,25.85,72.76,149.6,2118.39,371.3,0,369.89,0,2548.54,825.22
mys,159,peat,1600.39,36.47,122.31,338.68,4825.61,101.59,0,1880.04,80.76,5216.16,353.59
mys,165,peat,5.21,0.51,0,0,8.67,0,0,7.62,0,0,0
mtq,101,peat,0.34,0.46,0.72,1.1,0,0,0,0,0,0,0
moz,171,peat,0.06,0.73,0,0,0,1.63,0,0,0,0,0
moz,190,peat,0.01,0.15,0,0,0.63,0,0,0,0,0,0
nam,197,peat,1.5,18.51,0,0,0,29.95,0,0,0,0,0
npl,110,peat,25.87,13.99,0.72,0,11.27,6.48,0,0,0,0,0
nga,142,peat,179.15,128.75,13.13,162.74,530.77,876.94,0,0,0,10.03,0
nga,149,peat,256.55,332.75,31.41,893.55,702.74,3380.45,32.8,0,0,24.26,0
nga,162,peat,981.23,998.2,115.07,242.66,466.79,1046.36,0,0,0,61.02,0
pan,135,peat,0.05,0.15,0,0,0,0.4,0,0,0,0,0
pan,143,peat,0,0.23,0,0,1.7,3.01,0,0,0,0,0
pan,157,peat,0.95,9.51,0,1.13,66.57,11.45,0,0,0,0,0
png,167,peat,17.59,4.37,0.02,203.9,67.67,264.19,0,0,0,0,0
png,173,peat,387.86,70.68,23.66,4114.27,33327.74,8524.31,0,0,0,0,0
png,178,peat,31.32,2.26,1.28,139.59,2321.11,1174.23,0,0,0,0,0
png,181,peat,20.24,1.71,0,0,4354.53,2030.15,0,0,0,0,0
pry,206,peat,7.2,34.3,0.12,0,4.05,2.58,0,0,0,0,0
per,168,peat,60.75,17.42,3.47,0,50852.95,1228.88,0,5.05,0,19.53,0
phl,119,peat,1305.49,142.67,96.87,194.89,978.28,102.14,0,1.42,0,0,455.67
gnb,142,peat,13.59,5.88,0.31,16.88,28.25,83.83,0,0,0,0,0
rwa,87,peat,1.58,0.19,0.07,0,0.53,0.07,0,0,0,0,0
rwa,183,peat,0.27,0.49,0,0,0,3.44,0,0,0,0,0
lca,101,peat,0.08,0,0,0.42,0,0,0,0,0,0,0
sle,142,peat,376.47,380.86,4.04,325.5,101.77,445.29,0,0,0,0,0
zaf,198,peat,0.09,0.8,0,0.36,0,0,0,0,0,0,0
sdn,87,peat,10.16,388.61,0.08,0,6.68,166.13,0.08,0,0,0,0
sdn,179,peat,0.16,7.26,0,0,0,0.98,0,0,0,0,0
sdn,183,peat,0.35,0.98,0.01,0,0,1.18,0,0,0,0,0
sur,161,peat,5.07,0.42,0.32,0,2785.84,10.09,0,0,0,0,0
sur,168,peat,0.01,0,0,0,3.39,0,0,0,0,0,0
tza,87,peat,6.9,9.24,0.11,0,0.36,6.41,0.11,0,0,0,0
tza,171,peat,0.02,0.12,0,0,0,0.7,0,0,0,0,0
tza,188,peat,0.11,0.1,0,0,0,0.62,0,0,0,0,0
tha,125,peat,39.69,3.69,0.21,0,28.62,18.53,0,0,0,0,0
tha,139,peat,292.41,4.82,10.83,152.52,383.51,121.44,10.59,0.75,0,0,0
tha,146,peat,0.21,0.03,0,0,1.38,0.8,0,0,0,0,0
tha,148,peat,40.71,3.85,4.67,2.46,116.79,25.06,0,0.82,0,0,0
tto,143,peat,2.34,0.25,0.01,3.28,10.73,4.98,0,0,0,0,0
uga,87,peat,1400.28,728.29,3.39,0,88.51,1106.08,31.82,0,0,0,0
ven,143,peat,2.4,5.51,0.47,5.21,36.22,3.92,0,0,0,0,0
ven,156,peat,5.37,1370.59,0.09,339.51,11863.15,1996.86,0.86,0,0,0,0
ven,161,peat,0.5,0.96,0,375.68,1625.27,339.85,0,0,0,0,0
ven,168,peat,0,0.2,0,0,9999.58,114.75,0,0,0,0,0
vnm,109,peat,12.12,0.76,0.72,0,0,7.08,0,0,0,0,0
vnm,125,peat,507.6,41.52,3.91,207.6,173.98,52.09,4.2,105.57,0,0,1.62
vnm,126,peat,578.35,23.48,44.37,20.22,351.76,220.82,0.66,73.07,0.79,0,0
vnm,148,peat,1.84,0.23,0.01,15.19,0,0,0,0.77,0,0,0
eth,87,peat,8.44,7.65,0,0,15.08,16.28,0,0,0,0,0
eth,179,peat,0,0,0,0,0.85,0,0,0,0,0,0
cod,87,peat,0.14,0.27,0,0,1.28,0,0,0,0,0,0
cod,162,peat,0.04,0.05,0,0,0.77,0,0,0,0,0,0
cod,183,peat,583.72,1067.41,18.58,7185.04,81366.1,3973.85,353.2,0,0,1.68,0.84
cod,188,peat,0,0.52,0,0,1.57,5.37,0,0,0,0,0
chn,125,peat,11.84,12.47,1.8,0,10.02,30.75,0,0,0,0,0
chn,137,peat,7.06,7.81,0.61,0,12.89,3.4,0,0,0,0,0
